Geo Point;Geo Shape;gid;libelle;ident;type;zone;comptage_5m;cdate;mdate
44.8413839, -0.6503618;"{""coordinates"": [-0.6503618, 44.8413839], ""type"": ""Point""}";2713;22 Avenue de l Yser - Vers Rue Frédéric Joliot Curie;PS.1;PONCTUEL;0;;2021-04-28T12:57:12+02:00;2021-04-28T12:57:12+02:00
44.8671059, -0.5759588;"{""coordinates"": [-0.5759588, 44.8671059], ""type"": ""Point""}";2729;Parc relais Ravezies Le Bouscat allée de Boutaut - Vers Place Ravezies;PA1.1;PONCTUEL;0;;2021-04-28T12:57:12+02:00;2021-04-28T12:57:12+02:00
44.8394198, -0.55967;"{""coordinates"": [-0.55967, 44.8394198], ""type"": ""Point""}";2654;Quai Deschamps - Vers Place Stalingrad;P72.2;PONCTUEL;0;;2021-04-28T12:57:12+02:00;2021-04-28T12:57:12+02:00
44.8032638, -0.612223;"{""coordinates"": [-0.612223, 44.8032638], ""type"": ""Point""}";2695;78 Avenue du Dr Albert Schweitzer - Vers Avenue Fanning Lafontaine;PJ.1;PONCTUEL;0;;2021-04-28T12:57:12+02:00;2021-04-28T12:57:12+02:00
44.8508379, -0.6072349;"{""coordinates"": [-0.6072349, 44.8508379], ""type"": ""Point""}";2638;2 Avenue Louis Barthou - Vers Rue de la Cape;P63.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8289058, -0.5412149;"{""coordinates"": [-0.5412149, 44.8289058], ""type"": ""Point""}";2639;116 Quai de la Souys - Vers Rue Jean Dupas;P64.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8440789, -0.5879819;"{""coordinates"": [-0.5879819, 44.8440789], ""type"": ""Point""}";2578;40 Rue Capdeville - Vers Rue Docteur Albert Barrad;P33.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8403918, -0.560858;"{""coordinates"": [-0.560858, 44.8403918], ""type"": ""Point""}";2652;Quai de Queyries place Stalingrad - Vers Allée Serr;P71.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8371759, -0.564766;"{""coordinates"": [-0.564766, 44.8371759], ""type"": ""Point""}";2541;Pont de Pierre - Vers Place Stalingrad;P15.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8584718, -0.6242158;"{""coordinates"": [-0.6242158, 44.8584718], ""type"": ""Point""}";2717;359 Avenue Maréchal De Lattre De Tassigny - Vers Rue Jude;PU.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
